prediction,target
-2.3210957050323486,5.29
3.004758358001709,10.04
6.5638298988342285,-0.51
2.6620161533355713,2.09
7.164877414703369,3.54
8.164546966552734,9.77
-3.129969835281372,-1.36
-1.0761771202087402,-1.43
0.2138746678829193,3.48
3.823227643966675,-0.64
3.5151638984680176,2.03
7.8869781494140625,2.35
6.698273658752441,7.04
9.786389350891113,12.16
6.639904499053955,10.76
11.028820991516113,13.18
12.613741874694824,13.64
-1.2698062658309937,-1.4
10.73690128326416,1.49
2.0086820125579834,2.16
-2.723771095275879,-2.68
11.82005500793457,12.7
-0.13986331224441528,0.72
-1.3376303911209106,1.28
1.6264632940292358,14.65
3.7179198265075684,3.1
9.115994453430176,3.47
0.17872905731201172,8.85
11.883672714233398,14.88
1.1707419157028198,8.12
2.140592336654663,-1.04
2.866886615753174,2.47
4.034794807434082,8.34
6.7216596603393555,0.61
-0.4382310211658478,0.84
2.651787281036377,-0.66
-2.6435556411743164,-1.96
7.058480262756348,11.12
1.2106913328170776,1.24
-1.1658570766448975,4.05
3.749337911605835,0.41
4.237448215484619,-1.16
-0.286819189786911,-0.3
-2.2450661659240723,-3.41
-0.013033315539360046,-1.44
17.966527938842773,13.75
2.325023651123047,-3.2
-2.811898708343506,-5.32
-1.3351048231124878,-3.14
-1.7293936014175415,-4.04
-2.055757761001587,-1.29
0.4452701807022095,0.62
-0.388380229473114,-0.07
-1.6317403316497803,-4.36
4.031264305114746,1.34
6.650650501251221,-1.17
-0.12209214270114899,12.41
-1.0950671434402466,-1.21
0.43241214752197266,-0.61
4.197015285491943,15.85
2.370175361633301,9.24
-2.5350472927093506,-0.09
-0.9843311309814453,-0.82
0.1371326446533203,-4.19
8.005563735961914,-2.76
-0.40950101613998413,1.19
5.769867420196533,2.68
-4.30513334274292,-0.88
0.3002574145793915,-5.85
-3.3402397632598877,2.24
