gcn_2d,mpnn_2d,mpnn_dist,mpnn_coord,mpnn_3d
4.199754353931972,4.440339966756957,4.624257360185895,4.028120491760118,4.0560954017298565
4.893458666120257,4.840096254859652,3.536150096143995,4.049808230570385,3.8181938018117636
2.9251178673335483,3.478495536531721,2.5963416546583176,2.695786012496267,3.1039215649877274
2.3255906649998255,4.406774829115187,3.1835744415010723,4.535083334786551,3.514835260595594
5.020579656107085,2.999624637195042,6.149028447696141,5.359554401891573,5.607890920979637
4.259038830654961,4.548580448116575,5.747643096106393,4.971723367486681,5.705063495465687
3.2940887144633697,5.497202314649309,3.4752015139375416,4.2309936004025595,3.487566477060318
4.750188096080508,3.194353201985359,4.282956687893186,4.345039160336767,4.703543803521565
2.9279271449361532,3.3602355752672466,2.64508244906153,3.230025320819446,2.4911035822970526
3.8095693588256836,3.4852675531591686,3.740918552875519,4.146733777863639,3.7172641864844733
3.634727831823485,4.410665374142782,3.6511533583913534,4.159306188992092,3.829439849512918
4.177127716796738,3.4140763657433646,4.709812592608588,3.870091219033514,4.547295578888485
5.083553827660425,3.2011608745370594,5.748928318704878,5.148406275681087,5.299218885387694
3.261192343916212,4.60287048135485,3.6278244904109407,4.201772606372833,4.3149943164416715
3.1543231101972715,4.235914996692112,3.299925937822887,3.5354589002473014,3.6994426693235125
3.3327571692211286,3.0796130078179496,3.210604827105999,3.9265903809240883,3.511240447844778
3.770427966969354,2.862772299562182,4.080050661734172,3.909151055983135,3.125678357907704
3.7932603793484825,6.317193225451878,3.3509330630302427,3.510837597506387,3.419117477110454
4.399348196813039,2.9775380739143915,5.106031184537071,4.1767790351595195,4.239318291204316
3.7668340631893704,4.863938636439188,4.133937100853239,5.8880399908338275,4.631221687793731
4.454096819673266,6.054500569616045,4.455364258374487,4.025571651969637,5.055794715881348
4.590145095757076,5.131695525986808,4.68398094858442,4.9807937077113555,5.408395891530174
3.3860220117228375,6.005159546647753,3.8285915417330605,2.832386384691511,4.13971700498036
4.160056598697389,5.001271511827197,3.515747063074793,4.497104605606625,3.1308562598058156
3.5634056521313533,3.749207629476275,2.964030204500471,4.017063367792538,3.0979628835405624
2.449865643892969,5.186319621971675,2.242657792993954,2.128696447610855,2.6984638707978386
3.291328878913607,4.076447718484061,4.337749860967909,3.482426284892218,4.138449718270983
4.083883027519499,4.534615118162972,3.8707187805856975,5.106213063001633,4.3427340771470755
3.894161456397602,4.0640932628086635,4.117472793374743,3.944110834598541,4.319018045493534
5.2332893388611925,3.333233286653246,6.642252477152008,5.414485971416746,5.276664750916618
2.722020854268755,3.372033525790487,3.1097103625535967,3.678582612531526,3.3412642317158836
4.9536629510777335,3.3447340164865764,4.4626692320619314,4.284393851246152,4.251254688841955
4.398364748273577,2.395330462924072,4.759429487160274,4.3317717799118585,3.353018812622343
4.408304205962589,2.5144678907735005,4.602853582586561,5.034075845139368,4.468164925064359
2.8623082258871624,8.871395906380245,3.225532312904085,3.141471807445799,3.0695302409785135
3.6949801900557113,2.9668891872678484,3.8227599648492676,4.7596250201974595,4.017438268661499
3.7199570545128418,5.4864458109651295,3.9985343081610543,3.9415235434259683,3.6951491198369433
4.020663063866751,3.7049354502132963,4.367818788119725,4.482956634249006,4.2027283711092815
3.571962169238499,4.100601255042212,3.2114436353955953,3.505044658694948,3.0840175249746866
4.2755550077983315,3.6957742482423783,5.410040286609105,5.147441384622029,5.191720391171319
4.2421758549554,4.453611700875419,4.107951595953533,4.673998599393027,5.17770528793335
2.519818455832345,3.3242258071899413,2.545770532957145,2.786084729858807,2.702612896476473
4.871488603523799,5.075524990899223,4.9135263494082855,4.675587396962301,3.897095953566687
3.3244208936180386,3.3690824295793265,3.0543153643608094,3.712213507720402,3.730666924374444
4.349846767527717,4.515701102358954,4.042120403051376,4.376225311415536,4.298102617263794
3.9699114254542764,3.330390524864197,4.74950247832707,4.628763181822641,4.888041509900774
4.1231931209564205,2.505717983841896,4.036834190573011,4.088623099667685,3.7427875633750647
3.786821088194847,5.470492259093693,3.9635485389402936,3.6792335459164214,4.381830169473376
3.179351794719696,5.715656314577375,4.087605970246451,3.825312304496765,3.9609269103833613
3.7731140221868245,4.449633513178144,3.794682219198772,3.922388688155583,3.5040165356227333
