inhibitor,SMILES,Inh Power
2-Amino-4-methyl-thiazole(2Am-4Met-Thiazole),Cc1csc(N)n1,89.6
"5-(4-chlorophenyl)-1,3,4-oxadiazole-2-thiol(INH-Cl)",Clc1ccc(c2nnc(S)o2)cc1,57.58
"5-(4-methylphenyl)-1,3,4-oxadiazole-2-thiol(INH-Me)",Cc1ccc(c2nnc(S)o2)cc1,56.95
"2-hydroxy-5-((4-(hydroxymethyl)-1H-1,2,3-triazol-1-yl)methyl)benzaldehyde (STR)",O=Cc1cc(CN2C=C(CO)N=N2)ccc1O,71.78
PHA(phenyl-2-(((2-(2-hydroxyethyl)amino)ethyl)imino)methyl)phenol,OCCNCCN=Cc1ccccc1O,59.89
BHA(4-bromo-2-(((2-(2-hydroxyethyl)amino)ethyl)imino)methyl)phenol),OCCNCCN=Cc1cc(Br)ccc1O,62.73
Thioisonicotinamide (TNAM),c1cnccc1C(=S)N,77.09
SB1,CCOCCOCCOCCOC(=O)c1cc2c(n[nH]c2cc1)/C=N/c3ccc(cc3)C(=N)/c4cc5c(n[nH]c5cc4)C(=O)OCCOCCOCCOCCOC,95.27
SB2,CCOCCOC(=O)c1cc2c(n[nH]c2cc1)/C=N/c3ccc(cc3)C(=N)/c4cc5c(n[nH]c5cc4)C(=O)OCCOCCOC,93.47
SB3,CCOC(=O)c1cc2c(n[nH]c2cc1)/C=N/c3ccc(cc3)C(=N)/c4cc5c(n[nH]c5cc4)C(=O)OCC,90.94
ODS1,CCCCCCCCCCCCCCCCCCN=C(CCCC=C)NCCCCCCCCCCCCCCCCCC,79.58
ODS2,CCCCCCCCCCCCCCCCC1=NCCN1CCN=C(CCCC=C)NCCN1CCN=C1CCCCCCCCCCCCCCCCC,74.89
ODS3,CCCCCCCCCCCCCCCCCCN=C(CCCC=C)NCCCCCCCCCCCCCCCCCC,70.78
