prediction,target
-2.509181499481201,5.29
7.4119873046875,10.04
3.897340774536133,-0.51
2.2505719661712646,2.09
2.262129306793213,3.54
19.610754013061523,9.77
-0.25590962171554565,-1.36
1.815095067024231,-1.43
1.8747942447662354,3.48
2.523078203201294,-0.64
-0.01969224214553833,2.03
2.211656093597412,2.35
7.327821254730225,7.04
8.109983444213867,12.16
1.3100063800811768,10.76
12.427857398986816,13.18
12.153985023498535,13.64
-1.4998327493667603,-1.4
15.266855239868164,1.49
2.7889509201049805,2.16
0.37240344285964966,-2.68
7.406069278717041,12.7
1.8326395750045776,0.72
-1.7867908477783203,1.28
0.44757384061813354,14.65
1.945820927619934,3.1
1.670320987701416,3.47
1.1374804973602295,8.85
3.634575128555298,14.88
-1.4097239971160889,8.12
-1.3886035680770874,-1.04
0.7096503376960754,2.47
2.324916362762451,8.34
-0.183674156665802,0.61
-0.30852586030960083,0.84
-0.4671860933303833,-0.66
0.1685003936290741,-1.96
5.339512348175049,11.12
0.4374478757381439,1.24
-0.49790605902671814,4.05
2.9640417098999023,0.41
5.881138324737549,-1.16
-2.346534013748169,-0.3
-1.9087969064712524,-3.41
5.040963172912598,-1.44
8.278096199035645,13.75
-1.0625836849212646,-3.2
-1.1061233282089233,-5.32
-1.013506531715393,-3.14
-1.5396066904067993,-4.04
-1.2954202890396118,-1.29
-1.8754122257232666,0.62
-0.7716598510742188,-0.07
-0.7325090765953064,-4.36
-2.497545003890991,1.34
-0.6160159707069397,-1.17
6.635330677032471,12.41
4.469362258911133,-1.21
0.7502068281173706,-0.61
-0.6321032047271729,15.85
-0.05485975742340088,9.24
-1.0182528495788574,-0.09
-0.2979547679424286,-0.82
3.0360469818115234,-4.19
0.1733529269695282,-2.76
4.159440994262695,1.19
10.042675971984863,2.68
-1.3306448459625244,-0.88
4.0836076736450195,-5.85
-1.3845415115356445,2.24
